Age,Gender,CGPA,Tenth_Percentage,Twelfth_Percentage,Aptitude_Score,Coding_Score,Communication_Score,Technical_Skills,Certifications,Internship_Experience,Projects,Placement_Status
23,Female,9.1,95.6,75.89,50,30,70,4,1,2,0,Placed
23,Female,8.99,79.42,93.62,99,63,94,3,1,0,2,Placed
21,Male,7.95,58.12,68.96,77,36,39,5,1,0,1,Not Placed
23,Female,7.19,65.27,83.7,69,83,53,7,0,0,3,Not Placed
21,Female,6.59,66.77,81.64,50,23,95,7,0,0,1,Not Placed
23,Female,8.07,73.73,91.2,74,62,78,1,1,2,1,Not Placed
21,Female,9.36,64.92,86.15,35,41,70,9,1,1,2,Not Placed
20,Female,6.94,60.38,65.37,43,48,70,3,0,2,0,Not Placed
23,Male,8.78,71.88,86.71,59,87,77,7,1,1,4,Not Placed
23,Male,9.12,96.76,59.36,100,32,88,8,0,1,0,Placed
21,Female,5.79,73.59,68.04,91,37,92,6,3,2,1,Not Placed
21,Female,6.84,89.3,91.31,70,32,51,8,2,1,4,Not Placed
20,Male,6.66,55.21,80.29,74,46,66,1,4,2,5,Not Placed
23,Male,6.2,83.33,72.15,45,56,63,6,2,0,4,Not Placed
20,Male,5.76,58.93,97.75,99,90,88,1,1,2,5,Not Placed
23,Female,7.04,81.48,75.79,53,100,50,2,1,1,3,Not Placed
23,Female,7.12,62.76,82.84,36,40,97,2,2,2,1,Not Placed
21,Female,6.56,59.58,91.11,40,37,79,1,3,0,5,Not Placed
23,Male,7.53,73.13,74.8,93,74,88,8,5,1,5,Placed
22,Female,9.0,86.49,69.67,43,87,83,3,1,2,3,Placed
23,Female,6.03,83.14,97.3,88,68,83,2,0,2,0,Placed
23,Female,9.34,75.41,63.71,32,87,75,6,3,1,3,Not Placed
22,Female,8.53,92.57,70.2,51,52,56,3,1,2,5,Not Placed
23,Male,5.67,90.08,92.84,38,76,50,6,0,2,1,Not Placed
22,Female,5.74,58.51,81.86,90,72,79,7,3,1,5,Placed
20,Female,8.22,82.48,82.62,59,80,61,2,2,2,5,Placed
23,Female,9.22,90.64,78.18,66,56,70,2,3,2,0,Placed
23,Male,9.43,85.3,90.48,52,93,62,9,1,2,4,Placed
23,Male,9.53,86.75,90.76,94,62,58,6,4,2,2,Placed
21,Male,7.28,92.07,67.25,55,36,94,9,0,2,1,Not Placed
20,Male,9.04,91.52,77.94,99,32,61,7,1,2,0,Placed
21,Female,9.43,79.54,86.63,94,35,76,9,3,2,4,Not Placed
21,Female,7.66,84.93,65.05,65,75,51,7,1,1,0,Not Placed
20,Male,6.56,86.16,84.29,41,30,48,8,0,1,1,Not Placed
21,Male,7.06,92.88,68.14,90,36,72,1,0,0,4,Not Placed
20,Female,9.02,74.29,86.37,44,61,54,7,4,0,3,Placed
23,Male,8.97,66.42,78.98,31,26,38,1,4,2,5,Not Placed
22,Female,9.26,80.5,69.32,71,27,71,5,4,0,5,Placed
21,Male,9.72,78.22,68.1,70,84,93,7,0,1,1,Placed
23,Male,7.26,76.17,91.15,54,64,90,5,4,1,1,Not Placed
22,Male,6.61,69.7,96.95,77,38,73,3,5,1,4,Placed
23,Female,6.01,66.48,58.83,33,94,81,3,5,0,2,Not Placed
22,Female,9.57,65.21,86.22,62,51,87,9,0,1,5,Placed
22,Male,8.61,65.15,59.26,31,51,98,4,2,1,2,Not Placed
21,Female,8.13,92.48,57.93,68,73,41,8,0,0,3,Placed
23,Male,7.31,83.54,87.07,67,91,84,1,3,0,1,Not Placed
23,Male,6.14,59.51,68.56,49,67,39,2,4,1,4,Not Placed
20,Male,7.3,56.31,97.93,76,87,62,9,3,2,0,Not Placed
20,Female,6.88,69.96,91.21,59,97,42,4,5,2,0,Placed
22,Male,7.91,60.66,95.31,48,96,47,6,1,2,1,Placed
20,Female,7.38,59.75,59.11,67,100,33,3,5,1,5,Not Placed
22,Male,8.77,73.33,61.54,82,78,68,1,5,0,1,Placed
22,Male,6.3,55.27,60.0,50,86,78,4,0,0,4,Not Placed
21,Female,8.04,58.15,60.82,71,74,55,8,2,1,0,Placed
23,Male,6.17,92.44,78.32,59,23,97,3,1,1,5,Not Placed
23,Male,6.39,62.18,78.83,32,64,90,2,3,0,2,Not Placed
23,Male,6.05,88.53,93.36,50,56,97,2,2,1,4,Not Placed
22,Female,8.47,61.62,78.22,84,49,83,7,1,2,4,Not Placed
20,Male,9.4,94.6,87.69,59,95,72,8,4,1,0,Placed
22,Male,9.33,92.78,87.48,57,91,32,1,0,2,4,Placed
21,Male,6.28,81.13,60.52,73,50,67,1,4,0,5,Not Placed
20,Male,8.02,84.99,66.31,54,64,96,3,0,2,3,Not Placed
21,Female,6.28,94.09,62.09,41,70,51,7,2,0,2,Placed
20,Female,6.78,72.5,70.58,37,23,77,8,4,1,4,Not Placed
23,Female,6.91,92.8,76.36,56,38,39,10,3,0,5,Placed
21,Female,9.37,81.93,75.7,90,68,67,4,4,1,3,Not Placed
20,Male,6.16,90.17,91.61,76,50,88,10,2,0,3,Not Placed
23,Female,6.52,86.97,76.37,40,32,90,5,5,1,4,Not Placed
22,Male,7.57,60.59,78.63,92,33,86,7,4,2,5,Placed
20,Male,6.37,97.31,90.0,43,25,95,2,0,2,4,Placed
20,Male,9.21,97.47,64.32,93,26,98,6,0,0,3,Not Placed
20,Female,7.63,89.31,92.53,96,84,55,9,4,2,1,Placed
20,Female,7.93,66.9,91.21,40,77,31,1,4,0,0,Not Placed
21,Female,6.0,89.25,78.02,93,56,68,7,2,2,3,Not Placed
20,Male,8.72,60.57,86.42,36,86,40,5,4,2,5,Placed
23,Male,9.73,58.44,83.39,95,32,33,2,3,2,1,Not Placed
23,Male,9.47,85.38,55.52,49,37,35,4,3,2,3,Not Placed
22,Female,8.91,73.5,89.47,88,79,49,4,1,2,4,Placed
23,Male,6.38,75.93,94.51,70,26,66,7,2,2,1,Placed
20,Male,5.87,85.39,88.7,57,29,50,10,0,1,2,Not Placed
21,Male,9.12,82.46,57.68,59,69,91,3,3,2,1,Placed
23,Male,9.36,86.19,91.4,84,25,83,7,2,1,5,Placed
23,Female,7.04,83.02,60.62,71,30,70,6,4,1,2,Placed
23,Male,5.58,96.68,82.36,62,63,58,8,3,2,0,Placed
20,Female,8.93,75.66,88.84,77,36,55,10,4,0,2,Placed
23,Female,9.15,69.61,62.79,48,83,55,6,4,1,0,Not Placed
21,Male,6.74,96.86,56.11,99,71,46,7,0,2,4,Placed
20,Female,7.12,80.47,94.86,92,53,63,6,4,2,2,Placed
22,Female,7.22,86.52,97.34,69,62,66,10,1,2,5,Placed
22,Male,6.5,87.72,72.89,82,32,53,4,3,1,0,Not Placed
22,Female,7.98,83.96,58.31,61,32,61,10,5,1,3,Placed
20,Male,8.01,58.78,82.38,76,35,94,9,1,2,3,Placed
20,Female,8.17,81.98,93.7,31,94,53,5,3,2,1,Not Placed
22,Female,8.94,64.65,82.99,76,66,45,8,3,0,2,Placed
21,Male,6.15,64.96,85.86,95,32,80,10,3,1,0,Placed
23,Female,5.58,68.24,66.6,92,97,51,4,5,1,1,Not Placed
20,Female,9.42,84.77,79.95,83,68,30,9,3,2,4,Placed
23,Female,8.83,94.23,88.39,40,76,87,5,5,0,5,Not Placed
22,Female,5.87,69.88,60.22,78,46,94,9,0,1,4,Placed
23,Female,8.0,58.1,94.91,49,79,39,7,1,0,5,Not Placed
20,Female,8.28,92.49,72.07,38,53,64,4,1,0,4,Placed
22,Male,5.87,85.46,56.55,32,64,93,6,0,1,1,Not Placed
22,Female,7.21,59.6,72.33,76,49,48,2,4,0,0,Not Placed
23,Male,7.21,77.35,63.77,95,36,41,5,3,1,2,Placed
20,Male,9.5,59.41,60.7,98,76,51,4,4,2,4,Placed
21,Male,8.07,84.38,73.66,97,30,44,3,4,2,1,Placed
22,Male,8.14,64.51,89.96,85,70,49,2,1,1,0,Not Placed
23,Male,6.49,62.03,84.62,95,96,30,8,1,1,5,Placed
23,Female,5.88,94.89,70.26,40,95,80,6,4,0,3,Not Placed
23,Male,9.71,58.84,71.81,44,100,99,8,4,1,4,Placed
20,Male,7.44,57.81,62.8,90,73,89,7,1,0,5,Not Placed
22,Female,9.24,74.45,58.53,67,29,46,10,2,2,5,Placed
22,Female,6.19,76.82,95.02,59,58,35,9,5,2,5,Not Placed
23,Male,7.55,88.64,56.13,77,78,93,8,5,2,4,Placed
21,Male,9.51,62.2,85.8,50,27,75,7,2,0,0,Placed
22,Female,5.63,69.06,67.85,79,53,46,5,3,2,1,Not Placed
20,Female,6.16,87.24,96.41,30,51,34,5,1,0,2,Not Placed
22,Male,7.93,59.5,58.1,80,26,61,1,2,1,1,Not Placed
20,Female,6.77,56.69,93.11,78,50,64,8,4,0,3,Placed
22,Male,8.05,89.29,60.49,88,22,92,3,1,2,3,Not Placed
23,Male,9.07,62.3,89.4,58,41,97,9,3,1,4,Placed
22,Male,8.42,83.31,90.52,56,33,78,4,4,0,1,Not Placed
21,Female,9.37,91.04,61.34,66,96,76,6,5,1,0,Placed
20,Female,7.22,70.08,81.4,69,28,74,8,1,1,1,Not Placed
22,Female,7.58,89.81,96.18,69,56,77,3,4,0,4,Not Placed
22,Male,9.21,62.73,60.66,90,92,40,8,2,2,2,Placed
21,Male,8.37,64.48,66.79,81,86,42,6,5,1,3,Placed
23,Male,6.91,79.33,81.81,63,49,35,3,1,0,0,Not Placed
23,Female,7.12,62.98,72.81,92,53,100,4,5,2,3,Not Placed
20,Female,8.3,83.92,88.75,53,27,65,4,4,0,0,Not Placed
23,Male,6.24,63.02,58.42,52,73,87,3,0,1,3,Not Placed
23,Male,6.97,89.64,70.82,69,94,84,1,4,1,0,Not Placed
21,Male,7.09,92.07,79.18,56,44,97,5,5,0,3,Not Placed
22,Female,8.38,95.08,90.37,46,38,31,2,5,0,5,Not Placed
22,Male,6.95,55.95,68.41,87,72,88,9,5,2,0,Placed
20,Male,7.15,60.64,55.83,65,89,51,7,1,1,0,Placed
20,Female,8.67,92.45,88.31,57,47,79,6,5,0,1,Placed
20,Male,8.5,82.37,58.06,67,55,61,4,0,1,3,Placed
20,Female,8.72,79.88,90.09,88,53,89,3,1,0,3,Placed
22,Male,8.31,88.26,55.4,69,75,96,10,1,2,5,Placed
23,Female,6.38,90.64,86.52,39,90,56,4,5,2,2,Not Placed
21,Female,6.28,69.04,83.35,37,50,54,3,5,2,3,Not Placed
23,Female,7.09,78.69,84.67,30,34,54,8,0,1,3,Not Placed
22,Male,7.98,57.23,70.19,33,89,46,6,0,2,1,Not Placed
23,Male,8.69,95.58,59.34,64,57,86,4,2,1,3,Placed
23,Female,8.78,74.44,71.84,52,45,51,7,4,1,4,Placed
22,Female,8.64,66.75,65.28,75,98,49,1,2,2,1,Placed
23,Male,6.59,66.17,74.37,33,24,80,8,3,2,4,Placed
21,Male,9.23,68.59,84.91,67,71,34,1,3,2,0,Placed
23,Male,9.57,58.38,77.29,75,57,36,8,4,2,3,Placed
23,Male,6.39,92.33,88.91,63,52,57,9,1,1,5,Not Placed
23,Female,8.58,74.15,80.38,76,86,30,6,5,2,5,Placed
22,Female,8.02,60.71,86.71,44,73,38,7,3,1,4,Not Placed
22,Male,6.32,92.56,65.85,68,44,38,4,4,2,5,Not Placed
21,Male,5.58,89.43,56.79,81,53,39,8,2,0,2,Not Placed
23,Female,6.76,73.53,81.49,43,76,85,7,2,0,5,Not Placed
22,Male,5.56,66.08,71.0,78,47,48,9,1,0,1,Not Placed
23,Female,8.2,64.62,77.92,44,54,88,4,0,2,1,Placed
22,Female,9.22,78.27,84.88,86,32,49,5,2,1,2,Placed
21,Male,9.48,89.47,62.96,51,73,54,8,2,2,1,Placed
20,Male,9.73,76.02,79.11,96,25,46,7,0,1,2,Placed
23,Female,7.37,84.91,76.35,35,55,46,8,0,1,4,Placed
21,Female,8.81,60.17,89.51,55,100,36,3,1,1,4,Placed
21,Male,9.35,56.79,81.64,50,73,96,7,3,2,3,Placed
23,Female,7.75,56.34,73.32,32,47,91,4,3,2,0,Not Placed
22,Male,9.11,93.48,87.87,63,76,56,7,5,1,2,Placed
21,Male,5.94,61.91,97.66,95,75,33,5,5,1,0,Placed
20,Male,7.79,91.6,72.17,75,82,52,2,1,0,2,Placed
23,Female,8.0,96.66,60.81,49,39,35,5,1,2,4,Not Placed
23,Male,9.34,57.76,59.72,97,66,59,1,1,0,1,Placed
23,Male,8.36,64.16,77.66,80,48,57,2,2,2,5,Placed
23,Male,9.46,79.94,83.79,89,45,61,4,4,0,4,Placed
23,Female,6.29,93.22,75.0,32,84,39,6,2,1,3,Not Placed
22,Female,8.06,56.72,82.77,50,78,35,7,3,0,1,Not Placed
21,Male,7.97,73.05,84.76,48,100,37,6,1,2,1,Not Placed
22,Female,6.28,56.58,87.72,56,96,81,4,4,0,4,Placed
21,Female,9.35,65.69,63.09,80,45,52,6,0,1,3,Placed
20,Female,8.71,72.56,78.04,61,32,94,6,1,2,4,Placed
22,Male,9.41,77.26,93.49,74,21,57,5,1,0,0,Not Placed
23,Male,6.65,59.81,92.7,64,71,87,10,5,0,4,Placed
23,Female,7.07,87.6,89.42,70,54,45,4,2,1,5,Not Placed
23,Male,7.11,96.77,90.16,74,94,86,6,2,1,4,Placed
21,Female,9.46,69.49,77.8,69,100,98,10,0,1,3,Placed
20,Male,7.79,64.47,89.2,38,55,68,8,3,2,5,Not Placed
21,Male,6.25,92.36,80.72,94,60,38,1,3,2,4,Placed
23,Male,8.16,93.1,96.41,62,24,34,9,0,0,2,Placed
21,Male,5.86,71.94,60.09,64,95,94,3,3,0,0,Not Placed
21,Female,8.04,86.72,73.22,68,94,53,1,3,1,0,Placed
22,Female,6.99,55.42,82.4,94,32,59,4,4,0,1,Not Placed
22,Male,6.53,75.1,60.87,87,57,36,10,4,0,5,Placed
23,Female,8.71,88.15,88.08,43,34,64,10,3,2,3,Placed
21,Female,7.96,84.58,94.68,44,50,36,1,4,0,5,Placed
20,Female,5.95,66.1,87.73,65,23,34,9,4,2,4,Not Placed
23,Female,7.95,56.26,74.23,79,35,87,7,5,1,0,Placed
22,Male,9.51,95.59,96.09,50,61,46,3,0,1,0,Placed
20,Female,9.56,84.94,60.24,78,38,50,3,5,0,2,Placed
23,Female,5.74,68.72,89.53,86,38,51,2,1,2,5,Not Placed
23,Male,6.25,81.53,71.37,91,97,94,2,5,0,0,Not Placed
23,Female,6.41,84.15,77.4,42,23,99,10,3,2,4,Not Placed
23,Male,5.56,81.54,70.28,68,44,54,4,4,2,0,Not Placed
22,Male,6.27,92.34,73.89,91,66,88,4,5,1,3,Placed
22,Male,6.28,61.5,60.22,43,45,53,8,3,1,0,Placed
21,Female,7.54,62.59,79.87,68,62,98,3,4,1,1,Not Placed
21,Female,9.16,77.74,80.87,70,89,48,10,2,1,3,Placed
21,Male,7.49,92.35,90.58,48,63,32,8,3,1,1,Placed
20,Female,8.63,68.96,60.74,93,28,82,5,1,2,5,Not Placed
21,Male,5.62,70.45,67.79,76,48,32,6,3,1,2,Not Placed
20,Female,9.67,87.72,62.46,87,72,72,7,5,1,5,Placed
22,Female,8.11,89.0,59.6,79,31,100,10,5,1,5,Placed
20,Female,9.59,71.33,57.45,58,86,85,5,3,0,0,Placed
21,Male,7.6,76.81,55.14,57,94,71,9,5,1,3,Placed
23,Female,6.89,84.38,82.56,44,49,48,3,1,1,5,Not Placed
21,Female,6.58,79.06,74.84,64,32,51,5,3,1,4,Not Placed
20,Female,6.1,84.48,96.96,82,52,83,3,4,2,3,Not Placed
21,Male,8.18,66.6,97.84,94,73,68,8,1,1,2,Placed
22,Male,8.44,89.68,71.35,39,88,56,3,0,2,5,Not Placed
22,Female,8.17,63.62,96.26,70,74,48,5,3,2,4,Not Placed
22,Female,9.26,95.62,69.11,36,69,48,1,5,0,4,Not Placed
22,Male,6.23,57.49,63.25,48,83,91,10,3,1,2,Not Placed
20,Male,6.1,72.1,76.91,54,27,58,8,4,0,0,Not Placed
23,Male,6.61,92.32,57.79,89,40,75,2,3,1,2,Not Placed
22,Female,7.27,89.18,74.77,46,50,42,6,3,1,2,Placed
20,Female,9.36,97.19,92.75,62,74,98,10,1,2,3,Placed
21,Female,6.33,88.52,58.68,79,29,79,1,2,1,3,Not Placed
20,Male,7.68,79.4,77.03,48,75,65,8,5,0,5,Not Placed
20,Female,9.5,64.49,97.78,38,53,36,1,2,0,5,Not Placed
22,Male,6.42,97.32,65.19,86,81,69,7,1,0,5,Not Placed
22,Female,8.39,56.05,78.66,90,39,52,9,1,0,3,Not Placed
23,Male,9.79,64.89,85.79,98,24,40,10,2,2,2,Placed
23,Female,9.27,75.64,75.47,41,66,99,1,4,0,0,Not Placed
22,Female,6.99,88.96,96.65,64,29,77,8,1,0,3,Not Placed
22,Female,7.79,87.61,96.53,96,69,57,9,1,0,0,Placed
22,Male,6.09,84.78,73.93,57,94,68,9,2,1,5,Placed
21,Female,6.68,91.32,68.21,43,43,46,1,3,1,5,Placed
23,Male,7.33,97.43,89.15,47,69,86,6,4,1,1,Not Placed
21,Male,6.21,93.45,68.17,51,63,87,1,1,2,4,Not Placed
20,Female,6.15,66.57,74.54,31,40,63,9,0,1,4,Not Placed
20,Female,7.49,56.43,57.87,83,92,97,8,0,2,5,Placed
23,Male,8.1,69.41,94.53,73,85,63,3,0,2,4,Placed
20,Male,5.6,96.5,59.0,65,57,58,2,1,1,5,Not Placed
22,Female,6.66,75.67,97.68,30,28,86,1,2,2,4,Not Placed
20,Male,6.09,88.04,88.56,95,42,92,9,1,1,4,Not Placed
20,Female,7.42,58.27,65.09,40,85,30,2,3,0,2,Placed
23,Male,5.66,71.03,59.16,77,27,92,9,0,1,1,Not Placed
20,Female,8.06,89.74,66.15,59,32,42,6,3,0,2,Placed
22,Female,9.58,65.74,81.14,73,53,100,3,4,0,5,Placed
